"","Electoral District","Year","Party","2014 Percent","median","lowr","upr"
"85","East Coast",2017,"Labour Party",0.2274,0.23058079483997,0.169814759717653,0.298270965650577
"86","East Coast",2017,"Mana",0.0117,0.000947602364830604,5e-04,0.0241488646527244
"87","East Coast",2017,"Maori Party",0.0095,0.0108548009835093,0.00458535551267969,0.030667075456069
"88","East Coast",2017,"National Party",0.4862,0.499693259741222,0.385686751286374,0.588859360167525
"89","East Coast",2017,"New Zealand First Party",0.1184,0.080411172688957,0.0215802067786802,0.211413650571144
"90","East Coast",2017,"United Future",0.0022,0.00280390693379279,5e-04,0.0789594534298627
"91","East Coast Bays",2017,"ACT",0.0176,0.00234361688275959,5e-04,0.0155502407057511
"92","East Coast Bays",2017,"Conservative Party",0.067,0.00668437297034872,5e-04,0.114959286419239
"93","East Coast Bays",2017,"Green Party",0.0823,0.0880088393223995,0.0643211600195832,0.122794476147977
"94","East Coast Bays",2017,"Labour Party",0.1215,0.12493681755629,0.0907321605351576,0.193859377180429
"95","East Coast Bays",2017,"Mana",0.0067,0.00054264408926197,5e-04,0.0199447617791654
"96","East Coast Bays",2017,"Maori Party",0.0038,0.00522594469156411,0.00183414220507188,0.0259418443354322
"97","East Coast Bays",2017,"National Party",0.6338,0.648256237313165,0.533286751286374,0.731501044023909
"98","East Coast Bays",2017,"New Zealand First Party",0.0596,0.0404772457116709,0.0108630094933221,0.169700504821111
"99","East Coast Bays",2017,"United Future",0.0021,0.00272334046788812,5e-04,0.0770233430824815
"100","Epsom",2017,"ACT",0.0272,0.00362195336426482,5e-04,0.0240321901816153
"101","Epsom",2017,"Conservative Party",0.0248,0.00247421566663654,5e-04,0.074917150427228
"102","Epsom",2017,"Green Party",0.1252,0.129133699692437,0.0978494439180051,0.153256415424124
"103","Epsom",2017,"Labour Party",0.1342,0.136575312008361,0.10021609830303,0.18570581131059
"104","Epsom",2017,"Mana",0.0083,0.000672230737443933,5e-04,0.0176085749578201
"105","Epsom",2017,"Maori Party",0.0046,0.0056070655236517,0.00222027740613964,0.0203779948724525
"106","Epsom",2017,"National Party",0.636,0.646261576327272,0.535486751286374,0.703845456159217
"107","Epsom",2017,"New Zealand First Party",0.0348,0.0236343649457407,0.0063428310464364,0.12652159070265
"108","Epsom",2017,"United Future",0.0016,0.00206374206685677,5e-04,0.0598922305154006
"109","Hamilton East",2017,"ACT",0.0072,0.000958752361128921,5e-04,0.00636146210689817
"110","Hamilton East",2017,"Conservative Party",0.0481,0.00479878119214587,5e-04,0.103214055099907
"111","Hamilton East",2017,"Green Party",0.1102,0.115278755389619,0.0861262677297457,0.14638746646665
"112","Hamilton East",2017,"Labour Party",0.2377,0.240616534789014,0.177506457277423,0.301152493046303
"113","Hamilton East",2017,"Mana",0.01,0.000809916551137269,5e-04,0.0220752767342564
"114","Hamilton East",2017,"Maori Party",0.0064,0.00770772262260384,0.00308908160854211,0.0262589852509876
