Candidate,Party,Year,Electorate,Candidate.Vote,Party.Vote.Electorate,Vote.to.Use,Incumbent
"AL-BUSTANJI, Ala'",Labour Party,2017,Taupo,NA,NA,0.208158675,FALSE
"TINETTI, Jan",Labour Party,2017,Tauranga,NA,NA,0.161220936,FALSE
"TWYFORD, Phil ",Labour Party,2017,Te Atatu,NA,NA,0.487408022,FALSE
"LORCK, Anna ",Labour Party,2017,Tukituki,NA,NA,0.341545696,FALSE
"AN, Jin",Labour Party,2017,Upper Harbour,NA,NA,0.266213012,FALSE
"LOADER, Brooke",Labour Party,2017,Waikato,NA,NA,0.193252167,FALSE
"ROSEWARNE, Dan",Labour Party,2017,Waimakariri,NA,NA,0.415478615,FALSE
"McANULTY, Kieran ",Labour Party,2017,Wairarapa,NA,NA,0.255787977,FALSE
"ALLAN, Zelie",Labour Party,2017,Waitaki,NA,NA,0.202142857,FALSE
"ROBERTSON, Grant ",Labour Party,2017,Wellington Central,NA,NA,0.52024666,TRUE
"O'CONNOR, Damien Peter ",Labour Party,2017,West Coast-Tasman,NA,NA,0.472869795,TRUE
"LEWIS, Steph",Labour Party,2017,Whanganui,NA,NA,0.407237513,FALSE
"SAVAGE, Tony",Labour Party,2017,Whangarei,NA,NA,0.191871745,FALSE
"WOODS, Megan ",Labour Party,2017,Wigram,NA,NA,0.489443179,TRUE
"KAYE, Nikki ",National Party,2017,Auckland Central,NA,NA,0.458380844,TRUE
"MULLER, Todd ",National Party,2017,Bay of Plenty,NA,NA,0.606923392,FALSE
"ROSS, Jami-Lee ",National Party,2017,Botany,NA,NA,0.651271893,FALSE
"WAGNER, Nicky ",National Party,2017,Christchurch Central,NA,NA,0.462167477,TRUE
"HAYES, Jo ",National Party,2017,Christchurch East,NA,NA,0.352128647,FALSE
"BARCLAY, Todd ",National Party,2017,Clutha-Southland,NA,NA,0.640648913,FALSE
"SIMPSON, Scott ",National Party,2017,Coromandel,NA,NA,0.587306438,TRUE
"WOODHOUSE, Michael ",National Party,2017,Dunedin North,NA,NA,0.30207164,FALSE
"GREGORY, Matt",National Party,2017,Dunedin South,NA,NA,0.38663947,FALSE
"TOLLEY, Anne",National Party,2017,East Coast,NA,NA,0.523873088,TRUE
"STANFORD, Erica",National Party,2017,East Coast Bays,NA,NA,0.619233135,FALSE
"GOLDSMITH, Paul ",National Party,2017,Epsom,NA,NA,0.318582258,FALSE
"BENNETT, David ",National Party,2017,Hamilton East,NA,NA,0.573628191,TRUE
"MACINDOE, Tim ",National Party,2017,Hamilton West,NA,NA,0.531004547,TRUE
"PENK, Chris",National Party,2017,Helensville,NA,NA,0.655623722,FALSE
"BAYLY, Andrew ",National Party,2017,Hunua,NA,NA,0.675553268,FALSE
"BISHOP, Chris ",National Party,2017,Hutt South,NA,NA,0.419604646,FALSE
"BROWNLEE, Gerry",National Party,2017,Ilam,NA,NA,0.580771208,TRUE
"DOWIE, Sarah ",National Party,2017,Invercargill,NA,NA,0.520928811,FALSE
"SMITH, Stuart ",National Party,2017,Kaikoura,NA,NA,0.577408841,FALSE
"BEERAM, Bala",National Party,2017,Kelston,NA,NA,0.327986668,FALSE
"MURREL, Euon",National Party,2017,Mana,NA,NA,0.326252053,FALSE
"LOHENI, Agnes",National Party,2017,Mangere,NA,NA,0.152380952,FALSE
"BAKSHI, Kanwaljit Singh ",National Party,2017,Manukau East,NA,NA,0.173926936,FALSE
"BUNGARD, Katrina",National Party,2017,Manurewa,NA,NA,0.295004813,FALSE
"LEE, Denise",National Party,2017,Maungakiekie,NA,NA,0.483860859,FALSE
"LEE, Melissa ",National Party,2017,Mt Albert,NA,NA,0.288712012,FALSE
"PARMAR, Parmjeet ",National Party,2017,Mt Roskill,NA,NA,0.319822149,FALSE
"Elliot, David",National Party,2017,Napier,NA,NA,0.320048925,FALSE
"SMITH, Nick",National Party,2017,Nelson,NA,NA,0.533666089,TRUE
"GARCIA, Paulo",National Party,2017,New Lynn,NA,NA,0.368666459,FALSE
"YOUNG, Jonathan ",National Party,2017,New Plymouth,NA,NA,0.584218048,TRUE
"BARRY, Maggie ",National Party,2017,North Shore,NA,NA,0.631492675,TRUE
"COLEMAN, Jonathan ",National Party,2017,Northcote,NA,NA,0.570125077,TRUE
"KING, Matt",National Party,2017,Northland,NA,NA,0.527477059,FALSE
"HUDSON, Brett ",National Party,2017,Ohariu,NA,NA,0.166225839,FALSE
"GUY, Nathan ",National Party,2017,Otaki,NA,NA,0.554022284,TRUE
"BROWN, Simeon",National Party,2017,Pakuranga,NA,NA,0.610385572,FALSE
"PIERCE, Adrienne",National Party,2017,Palmerston North,NA,NA,0.435164386,FALSE
"COLLINS, Judith ",National Party,2017,Papakura,NA,NA,0.467521635,TRUE
"KORAKO, Nuk ",National Party,2017,Port Hills,NA,NA,0.407399836,FALSE
"FALLOON, Andrew",National Party,2017,Rangitata,NA,NA,0.672417377,FALSE
"McKELVIE, Ian ",National Party,2017,Rangitikei,NA,NA,0.603483607,TRUE
"O'FALLON, Carolyn",National Party,2017,Rimutaka,NA,NA,0.346857435,FALSE
"MITCHELL, Mark ",National Party,2017,Rodney,NA,NA,0.634148828,TRUE
"FINLAYSON, Christopher ",National Party,2017,Rongotai,NA,NA,0.243904938,FALSE
"McCLAY, Todd ",National Party,2017,Rotorua,NA,NA,0.563345633,TRUE
"ADAMS, Amy",National Party,2017,Selwyn,NA,NA,0.699683447,TRUE
"O'CONNOR, Simon ",National Party,2017,Tamaki,NA,NA,0.714285714,TRUE
"KURIGER, Barbara ",National Party,2017,Taranaki-King Country,NA,NA,0.681677977,FALSE
"UPSTON, Louise ",National Party,2017,Taupo,NA,NA,0.631121562,TRUE
"BRIDGES, Simon ",National Party,2017,Tauranga,NA,NA,0.568780088,TRUE
"NGARO, Alfred ",National Party,2017,Te Atatu,NA,NA,0.399937817,FALSE
"YULE, Lawrence",National Party,2017,Tukituki,NA,NA,0.525557146,FALSE
"BENNETT, Paula ",National Party,2017,Upper Harbour,NA,NA,0.565316012,TRUE
"VAN DE MOLEN, Tim",National Party,2017,Waikato,NA,NA,0.65662402,FALSE
"DOOCEY, Matt ",National Party,2017,Waimakariri,NA,NA,0.48604888,FALSE
"SCOTT, Alastair ",National Party,2017,Wairarapa,NA,NA,0.43897238,FALSE
"DEAN, Jacqui ",National Party,2017,Waitaki,NA,NA,0.629795918,TRUE
"WILLIS, Nicola",National Party,2017,Wellington Central,NA,NA,0.303083248,FALSE
