Candidate,Party,Year,Electorate,Candidate.Vote,Party.Vote.Electorate,Vote.to.Use,Candidate Previous Vote,Previous Candidate Vote electorate,Same Candidate,Same Electorate,Same Party,Incumbent,No Candidate Run Last Election,Mixer
"MATTISON, Nigel",ACT,1999,Ilam,0.034947848,0.1005,0.023840706,0.023840706,0.023840706,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"BROWNLEE, Gerry",National Party,1999,Ilam,0.479918475,0.4205,0.442629961,0.442629961,0.442629961,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"ALTY, Evan Thomas",Green Party,1999,Ilam,0.043280182,0.0437,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE
"GRIFFITHS, Lois",Alliance,1999,Ilam,0.056048435,0.0641,0.139756782,NA,0.139756782,FALSE,NA,NA,FALSE,FALSE,FALSE
"WILKIE, Alison",Labour Party,1999,Ilam,0.276345762,0.287,0.172952025,NA,0.172952025,FALSE,NA,NA,FALSE,FALSE,FALSE
"GIN, Andrew",New Zealand First Party,1999,Ilam,0.04325021,0.024,0.072350661,NA,0.072350661,FALSE,NA,NA,FALSE,FALSE,FALSE
"MATTISON, Nigel",ACT,2002,Ilam,0.039465858,0.1014,0.034947848,0.034947848,0.034947848,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"GRIFFITHS, Lois",Green Party,2002,Ilam,0.042172258,0.0588,NA,0.056048435,0.043280182,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"BROWNLEE, Gerry",National Party,2002,Ilam,0.469099453,0.2987,0.479918475,0.479918475,0.479918475,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"PECK, Robert",Jim Anderton's Progressive,2002,Ilam,0.012996669,0.0157,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE
"BOYD, Lynda",Alliance,2002,Ilam,0.01305615,0.0148,0.056048435,NA,0.056048435,FALSE,NA,NA,FALSE,FALSE,FALSE
"POLE, Richard James",Labour Party,2002,Ilam,0.353943612,0.3324,0.276345762,NA,0.276345762,FALSE,NA,NA,FALSE,FALSE,FALSE
"ALEXANDER, Marc",United Future,2002,Ilam,0.052343564,0.0828,0.145583322,NA,0.145583322,FALSE,NA,NA,FALSE,FALSE,FALSE
"GRIFFITHS, Lois",Green Party,2005,Ilam,0.058262601,0.0536,0.042172258,0.042172258,0.042172258,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"ALEXANDER, Marc",United Future,2005,Ilam,0.049145971,0.0358,0.052343564,0.052343564,0.052343564,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"BROWNLEE, Gerry",National Party,2005,Ilam,0.545006811,0.4924,0.469099453,0.469099453,0.469099453,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"FINDLAY, Quentin ",Alliance,2005,Ilam,0.002410144,0.0008,0.01305615,NA,0.01305615,FALSE,NA,NA,FALSE,FALSE,FALSE
"ZHANG, Zemin ",Jim Anderton's Progressive,2005,Ilam,0.019700304,0.0125,0.012996669,NA,0.012996669,FALSE,NA,NA,FALSE,FALSE,FALSE
"BLANCHARD, Julian ",Labour Party,2005,Ilam,0.320758671,0.3454,0.353943612,NA,0.353943612,FALSE,NA,NA,FALSE,FALSE,FALSE
"PICKERING, John ",United Future,2008,Ilam,0.012378517,0.0139,NA,0.016632653,0.049145971,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"BROWNLEE, Gerry",National Party,2008,Ilam,0.568900256,0.5282,0.545006811,0.545006811,0.545006811,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"DAVIDSON, Brian ",ACT,2008,Ilam,0.021381074,0.0384,0.039465858,NA,0.039465858,FALSE,NA,NA,FALSE,FALSE,FALSE
"GRAHAM, Kennedy ",Green Party,2008,Ilam,0.122455243,0.082,0.058262601,NA,0.058262601,FALSE,NA,NA,FALSE,FALSE,FALSE
"HUTCHINSON, Craig ",Jim Anderton's Progressive,2008,Ilam,0.022813299,0.0149,0.019700304,NA,0.019700304,FALSE,NA,NA,FALSE,FALSE,FALSE
"YAU, Sam ",Labour Party,2008,Ilam,0.241227621,0.2748,0.320758671,NA,0.320758671,FALSE,NA,NA,FALSE,FALSE,FALSE
"ROBERTS, Vanessa ",United Future,2011,Ilam,0.008378155,0.0072,NA,0.006373355,0.012378517,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"GRAHAM, Kennedy ",Green Party,2011,Ilam,0.15349607,0.1342,0.122455243,0.122455243,0.122455243,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"BROWNLEE, Gerry",National Party,2011,Ilam,0.604054613,0.5834,0.568900256,0.568900256,0.568900256,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"LARKINS, Roger ",Conservative Party,2011,Ilam,0.023065784,0.0209,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE
"VEALE, Gareth ",ACT,2011,Ilam,0.007550683,0.0115,0.021381074,NA,0.021381074,FALSE,NA,NA,FALSE,FALSE,FALSE
"PARSONS, John ",Labour Party,2011,Ilam,0.203454696,0.1918,0.241227621,NA,0.241227621,FALSE,NA,NA,FALSE,FALSE,FALSE
"VEALE, Gareth ",ACT,2014,Ilam,0.011722365,0.0099,0.007550683,0.007550683,0.007550683,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"KELCHER, John ",Green Party,2014,Ilam,0.122056555,0.1296,NA,0.033752685,0.15349607,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"BROWNLEE, Gerry",National Party,2014,Ilam,0.580771208,0.5772,0.604054613,0.604054613,0.604054613,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"BALLANTINE, Beverley ",Mana,2014,Ilam,0.009357326,0.0066,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE
"WAKEFIELD, Benita ",Maori Party,2014,Ilam,0.007095116,0.0048,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE
"STRINGER, John ",Conservative Party,2014,Ilam,0.03403599,0.0368,0.023065784,NA,0.023065784,FALSE,NA,NA,FALSE,FALSE,FALSE
"DANN, James Macbeth ",Labour Party,2014,Ilam,0.23496144,0.1767,0.203454696,NA,0.203454696,FALSE,NA,NA,FALSE,FALSE,FALSE
"WISE, Alan",New Zealand First Party,1999,Invercargill,0.015501414,0.0277,NA,0.161876814,0.073074725,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"ROY, Eric",National Party,1999,Invercargill,0.317016613,0.2992,0.353882293,0.353882293,0.353882293,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"PECK, Mark",Labour Party,1999,Invercargill,0.570820495,0.4493,0.488318202,0.488318202,0.488318202,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"CARSON, Craig",Green Party,1999,Invercargill,0.021886217,0.0308,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE
"McINNES, Matt",ACT,1999,Invercargill,0.007973063,0.0333,0.013999111,NA,0.013999111,FALSE,NA,NA,FALSE,FALSE,FALSE
"DE RUYTER, Stephnie",Alliance,1999,Invercargill,0.049776055,0.0991,0.048758809,NA,0.048758809,FALSE,NA,NA,FALSE,FALSE,FALSE
"CARSON, Craig",Green Party,2002,Invercargill,0.032284019,0.043,0.021886217,0.021886217,0.021886217,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"DE RUYTER, Stephnie",Jim Anderton's Progressive,2002,Invercargill,0.033725569,0.0252,0.049776055,0.049776055,0.049776055,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
"ROY, Eric",National Party,2002,Invercargill,0.394113111,0.266,0.317016613,0.317016613,0.317016613,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"PECK, Mark",Labour Party,2002,Invercargill,0.487713299,0.4673,0.570820495,0.570820495,0.570820495,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"PHISKIE, Peter Henry",ACT,2002,Invercargill,0.010493144,0.0356,0.007973063,NA,0.007973063,FALSE,NA,NA,FALSE,FALSE,FALSE
"MCMARTIN, Anna",Alliance,2002,Invercargill,0.006771933,0.008,0.049776055,NA,0.049776055,FALSE,NA,NA,FALSE,FALSE,FALSE
"SMITH, Vincent",United Future,2002,Invercargill,0.027020685,0.0614,0.003523586,NA,0.003523586,FALSE,NA,NA,FALSE,FALSE,FALSE
