Candidate,Party,Year,Electorate,Candidate.Vote,Party.Vote.Electorate,Vote.to.Use,Candidate Previous Vote,Previous Candidate Vote electorate,Same Candidate,Same Electorate,Same Party,Incumbent,No Candidate Run Last Election
"MASON, Errol ",Labour Party,2005,Te Tai Hauauru,0.347187192,0.531,0.713562103,NA,0.713562103,FALSE,NA,NA,FALSE,FALSE
"MASON, Errol ",Labour Party,2008,Te Tai Hauauru,0.294229751,0.5066,0.347187192,0.347187192,0.347187192,TRUE,TRUE,TRUE,FALSE,FALSE
"McDONALD, Jack Tautokai ",Green Party,2011,Te Tai Hauauru,0.114978115,0.1117,NA,NA,NA,NA,NA,NA,FALSE,TRUE
"McDONALD, Jack Tautokai ",Green Party,2014,Te Tai Hauauru,0.153496245,0.1193,0.114978115,0.114978115,0.114978115,TRUE,TRUE,TRUE,FALSE,FALSE
"McKENZIE, Chris ",Maori Party,2014,Te Tai Hauauru,0.333968052,0.1764,0.482972136,NA,0.482972136,FALSE,NA,NA,FALSE,FALSE
"MINHINNICK, Tahuna",National Party,1996,Te Tai Hauauru,0.053272079,0.0571,NA,NA,NA,NA,NA,NA,NA,NA
"MORGAN, Tukoroirangi Tuku",New Zealand First Party,1996,Te Tai Hauauru,0.518351987,0.4402,NA,NA,NA,NA,NA,NA,NA,NA
"PATUWAIRUA, Dennis T",National Party,1999,Te Tai Hauauru,0.035460993,0.0442,0.053272079,NA,0.053272079,FALSE,NA,NA,FALSE,FALSE
"PEKE-MASON, Soraya Waiata ",Labour Party,2011,Te Tai Hauauru,0.298494715,0.4203,0.294229751,NA,0.294229751,FALSE,NA,NA,FALSE,FALSE
"PUKETAPU, Joe",Alliance,1999,Te Tai Hauauru,0.068238451,0.0623,0.066956649,NA,0.066956649,FALSE,NA,NA,FALSE,FALSE
"RURAWHE, Adrian ",Labour Party,2014,Te Tai Hauauru,0.413413731,0.4223,0.298494715,NA,0.298494715,FALSE,NA,NA,FALSE,FALSE
"TIMUTIMU, Frederick ",Mana,2011,Te Tai Hauauru,0.086687307,0.0824,NA,NA,NA,NA,NA,NA,FALSE,TRUE
"TURIA, Tariana",Labour Party,2002,Te Tai Hauauru,0.713562103,0.5608,0.521500224,NA,0.521500224,FALSE,NA,NA,FALSE,FALSE
"TURIA, Tariana",Maori Party,2005,Te Tai Hauauru,0.652812808,0.3168,0.713562103,0.713562103,NA,TRUE,TRUE,FALSE,TRUE,TRUE
"TURIA, Tariana",Maori Party,2008,Te Tai Hauauru,0.705770249,0.3076,0.652812808,0.652812808,0.652812808,TRUE,TRUE,TRUE,TRUE,FALSE
"TURIA, Tariana",Maori Party,2011,Te Tai Hauauru,0.482972136,0.2105,0.705770249,0.705770249,0.705770249,TRUE,TRUE,TRUE,TRUE,FALSE
"WHITE, Gregory",National Party,2002,Te Tai Hauauru,0.070699864,0.0412,0.035460993,NA,0.035460993,FALSE,NA,NA,FALSE,FALSE
"WINIATA, Jordan ",Mana,2014,Te Tai Hauauru,0.099121972,0.0682,0.086687307,NA,NA,NA,NA,NA,FALSE,TRUE
"BUTT, Peta",National Party,1996,Te Tai Rawhiti,0.024110163,0.0425,NA,NA,NA,NA,NA,NA,NA,NA
"DELAMERE, John",New Zealand First Party,1996,Te Tai Rawhiti,0.507314052,0.4753,NA,NA,NA,NA,NA,NA,NA,NA
"KOPU, Manu Alamein",Alliance,1996,Te Tai Rawhiti,0.057654739,0.0654,NA,NA,NA,NA,NA,NA,NA,NA
"TAPSELL, Peter",Labour Party,1996,Te Tai Rawhiti,0.306475437,0.3108,NA,NA,NA,NA,NA,NA,NA,NA
"CAMPBELL, Peter",Alliance,1996,Te Tai Tokerau,0.069163722,0.0855,NA,NA,NA,NA,NA,NA,NA,NA
"DARGAVILLE, Rihari Dick",National Party,1996,Te Tai Tokerau,0.043863369,0.0671,NA,NA,NA,NA,NA,NA,NA,NA
"DAVIS, Kelvin ",Labour Party,2008,Te Tai Tokerau,0.294390553,0.4563,0.344474687,NA,0.344474687,FALSE,NA,NA,FALSE,FALSE
"DAVIS, Kelvin ",Labour Party,2011,Te Tai Tokerau,0.371002593,0.3465,0.294390553,0.294390553,0.294390553,TRUE,TRUE,TRUE,FALSE,FALSE
"DAVIS, Kelvin ",Labour Party,2014,Te Tai Tokerau,0.447304568,0.3547,0.371002593,0.371002593,0.371002593,TRUE,TRUE,TRUE,FALSE,FALSE
"GEORGE, Anaru",New Zealand First Party,1999,Te Tai Tokerau,0.159389128,0.1573,0.604287397,NA,0.604287397,FALSE,NA,NA,FALSE,FALSE
"GLAVISH, Rangimarie Naida",Alliance,2002,Te Tai Tokerau,0.123382447,0.0367,0.070900871,NA,0.070900871,FALSE,NA,NA,FALSE,FALSE
"HARAWIRA, Hone ",Maori Party,2005,Te Tai Tokerau,0.54044638,0.31,NA,NA,NA,NA,NA,NA,FALSE,TRUE
"HARAWIRA, Hone ",Maori Party,2008,Te Tai Tokerau,0.619569802,0.3077,0.54044638,0.54044638,0.54044638,TRUE,TRUE,TRUE,TRUE,FALSE
"HARAWIRA, Hone ",Mana,2011,Te Tai Tokerau,0.43312446,0.2449,0.619569802,0.619569802,NA,NA,TRUE,FALSE,TRUE,TRUE
"HARAWIRA, Hone ",Mana,2014,Te Tai Tokerau,0.413018251,0.1875,0.43312446,0.43312446,0.43312446,NA,TRUE,FALSE,TRUE,FALSE
"HARRIS, Mita ",National Party,2002,Te Tai Tokerau,0.065214606,0.0416,0.045429485,NA,0.045429485,FALSE,NA,NA,FALSE,FALSE
"HAWKE, Joe",Labour Party,1996,Te Tai Tokerau,0.207679623,0.2906,NA,NA,NA,NA,NA,NA,NA,NA
"HENARE, Tau",New Zealand First Party,1996,Te Tai Tokerau,0.604287397,0.4538,NA,NA,NA,NA,NA,NA,NA,NA
"HENRY, Ella",Alliance,1999,Te Tai Tokerau,0.070900871,0.0666,0.069163722,NA,0.069163722,FALSE,NA,NA,FALSE,FALSE
"KAMIRA, Petera",Jim Anderton's Progressive,2002,Te Tai Tokerau,0.027418322,0.0137,NA,NA,NA,NA,NA,NA,FALSE,TRUE
"MURRAY, Tom Bowling",National Party,1999,Te Tai Tokerau,0.045429485,0.0648,0.043863369,NA,0.043863369,FALSE,NA,NA,FALSE,FALSE
"PAENGA, Te Hira ",Maori Party,2014,Te Tai Tokerau,0.118788902,0.1015,0.166054451,NA,0.166054451,FALSE,NA,NA,FALSE,FALSE
"RATA, Nellie",ACT,1999,Te Tai Tokerau,0.015437204,0.0095,NA,NA,NA,NA,NA,NA,FALSE,TRUE
"SAMUELS, Dover",Labour Party,1999,Te Tai Tokerau,0.473205425,0.5159,0.207679623,NA,0.207679623,FALSE,NA,NA,FALSE,FALSE
