Candidate,Party,Year,Electorate,Candidate.Vote,Party.Vote.Electorate,Vote.to.Use,Candidate Previous Vote,Previous Candidate Vote electorate,Same Candidate,Same Electorate,Same Party,Incumbent,No Candidate Run Last Election,PollAve,TWts
"RIRINUI, Mita",Labour Party,2005,Waiariki,0.419862783,0.5311,0.619277587,0.619277587,0.619277587,TRUE,TRUE,TRUE,TRUE,FALSE,0.299271554,7.276404845
"RIRINUI, Mita",Labour Party,2008,Waiariki,0.31836518,0.4557,0.419862783,0.419862783,0.419862783,TRUE,TRUE,TRUE,FALSE,FALSE,0.236840177,19.15348064
"TE KANI, Louis ",Labour Party,2011,Waiariki,0.245039575,0.3505,0.31836518,NA,0.31836518,FALSE,NA,NA,FALSE,FALSE,0.182036604,10.46334986
"WAITITI, Rawiri ",Labour Party,2014,Waiariki,0.273452256,0.3877,0.245039575,NA,0.245039575,FALSE,NA,NA,FALSE,FALSE,0.179444444,7.636266361
"SYKES, Annette ",Mana,2011,Waiariki,0.3245148,0.1662,NA,NA,NA,NA,NA,NA,FALSE,TRUE,0.210509151,10.46334986
"SYKES, Annette ",Mana,2014,Waiariki,0.256873033,0.1139,0.3245148,0.3245148,NA,NA,TRUE,FALSE,FALSE,TRUE,0.221666667,7.636266361
"FLAVELL, Te Ururoa James ",Maori Party,2005,Waiariki,0.580137217,0.3079,NA,NA,NA,NA,NA,NA,FALSE,TRUE,0.495478533,7.276404845
"FLAVELL, Te Ururoa James ",Maori Party,2008,Waiariki,0.68163482,0.3526,0.580137217,0.580137217,0.580137217,TRUE,TRUE,TRUE,TRUE,FALSE,0.687742915,19.15348064
"FLAVELL, Te Ururoa James ",Maori Party,2011,Waiariki,0.430445625,0.2121,0.68163482,0.68163482,0.68163482,TRUE,TRUE,TRUE,TRUE,FALSE,0.569490849,10.46334986
"FLAVELL, Te Ururoa James ",Maori Party,2014,Waiariki,0.455613851,0.2201,0.430445625,0.430445625,0.430445625,TRUE,TRUE,TRUE,TRUE,FALSE,0.527777778,7.636266361
