"","Candidate","Party","Year","Electorate","2014 Vote","median","lowr","upr","% Win"
"79","GILBERT, Paul","ACT",2017,"Ilam",0.011722365,0.0015292599195896,0.000254060268626651,0.00566748813470212,0
"80","GENERIC GREEN PARTY CANDIDATE","Green Party",2017,"Ilam",0.122056555,0.115671507580108,0.106017956997548,0.12673548180389,0
"81","RIMELL, Anthony","Labour Party",2017,"Ilam",0.23496144,0.24743414503434,0.222011372289605,0.272995840772296,0
"82","BROWNLEE, Gerry","National Party",2017,"Ilam",0.580771208,0.620583437294844,0.583256562063557,0.65124675764024,1
"83","SURENDRAN, Rochelle","Green Party",2017,"Invercargill",0.074243813,0.0791066021565189,0.0703929144606285,0.088900790478845,0
"84","CRAIG, Liz","Labour Party",2017,"Invercargill",0.298502903,0.314361691530657,0.287487633915183,0.341801482390467,0
"85","DOWIE, Sarah","National Party",2017,"Invercargill",0.520928811,0.48560891887479,0.451312993477986,0.516331503717972,0.9998
"86","BOND, Ria","New Zealand First Party",2017,"Invercargill",0.07505856,0.0860724803844527,0.0311042791555637,0.178476847730734,2e-04
"87","EVANS, Richard","ACT",2017,"Kaikoura",0.003666735,0.000435356364600106,9.00281760570535e-05,0.00205175766704158,0
"88","McCUBBIN, Richard","Green Party",2017,"Kaikoura",0.083825626,0.0889358842897496,0.0802880577673944,0.0987038929960955,0
"89","WALKER, Janette","Labour Party",2017,"Kaikoura",0.229374618,0.24508133601491,0.216357352221067,0.273814936409752,0
"90","SMITH, Stuart","National Party",2017,"Kaikoura",0.577408841,0.54051130443539,0.506687618061528,0.571945635849117,1
"91","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Kaikoura",0.016902274,0.0431998208894165,0.0151449449753665,0.097384518420675,0
"92","FOSTER, John","United Future",2017,"Kaikoura",NA,0.00504149761609276,0.00085102997559931,0.027688933328383,0
"93","GENERIC GREEN PARTY CANDIDATE","Green Party",2017,"Kelston",0.069263618,0.0874833971077429,0.0798281119520007,0.0963880894696894,0
"94","SEPULONI, Carmel","Labour Party",2017,"Kelston",0.509009478,0.479245607482317,0.456225936048239,0.505338589141799,1
"95","BEERAM, Bala","National Party",2017,"Kelston",0.327986668,0.327777848210726,0.290420504172265,0.358150071898053,0
"96","DEGIA-PALA, Anne","New Zealand First Party",2017,"Kelston",0.043224664,0.050561992921204,0.0183249621747318,0.121973983503103,0
"97","SHAN, Ng","ACT",2017,"Mana",NA,0.00105988881849267,0.000552962800915263,0.00406110023145693,0
"98","LOGIE, Jan","Green Party",2017,"Mana",0.084359606,0.100177971968256,0.0920382633979278,0.109298700480682,0
"99","FAAFOI, Kris","Labour Party",2017,"Mana",0.548132184,0.507296291323974,0.477050723089631,0.536489484330359,0.9998
"100","MURREL, Euon","National Party",2017,"Mana",0.326252053,0.368132535406758,0.335553639435653,0.393307587505881,2e-04
"101","DYETT, Elaine","Green Party",2017,"Mangere",0.045608466,0.0517749586406086,0.0437513165336186,0.0603773563077923,0
"102","SIO, Sua William","Labour Party",2017,"Mangere",0.724973545,0.762603424855379,0.737969271886849,0.785888384946288,1
"103","LOHENI, Agnes","National Party",2017,"Mangere",0.152380952,0.173402098444928,0.152624051339692,0.196244139500354,0
"104","SINGH, Bhupinder","ACT",2017,"Manukau East",NA,0.00263456934441646,0.000732532047081889,0.00836893174118818,0
"105","PARDEEP SINGH, Raj","Green Party",2017,"Manukau East",0.026520396,0.0410097830761721,0.034410429302234,0.0483755406184544,0
"106","SALESA, Jenny","Labour Party",2017,"Manukau East",0.69538822,0.64371013420064,0.620604347743245,0.667131226351829,1
