Candidate,Party,Year,Electorate,Candidate.Vote,Party.Vote.Electorate,Vote.to.Use,Incumbent
"BINDRA, Mahesh ",New Zealand First Party,2017,Mt Roskill,NA,NA,0.021714404,FALSE
"SARA, Susan",New Zealand First Party,2017,Nelson,NA,NA,NA,FALSE
"CHAN, Peter",New Zealand First Party,2017,New Lynn,NA,NA,NA,FALSE
"CHONG, Murray",New Zealand First Party,2017,New Plymouth,NA,NA,NA,FALSE
"HUBBARD, Josh",New Zealand First Party,2017,North Shore,NA,NA,NA,FALSE
"KOLONI, Kym",New Zealand First Party,2017,Northcote,NA,NA,NA,FALSE
"PETERS, Winston",New Zealand First Party,2017,Northland,NA,NA,0.5445,TRUE
"CLOSE, Lisa Susan",New Zealand First Party,2017,Ohariu,NA,NA,NA,FALSE
"RUDZKI, Romuald Edward",New Zealand First Party,2017,Otaki,NA,NA,NA,FALSE
"KELLY, Suzanne",New Zealand First Party,2017,Pakuranga,NA,NA,NA,FALSE
"BALL, Darroch ",New Zealand First Party,2017,Palmerston North,NA,NA,0.036144578,FALSE
"GREENING, Toa",New Zealand First Party,2017,Papakura,NA,NA,0.101240747,FALSE
"O'ROURKE, Denis ",New Zealand First Party,2017,Port Hills,NA,NA,0.028924775,FALSE
"STEVENSON, Rob",New Zealand First Party,2017,Rangitikei,NA,NA,0.069262295,FALSE
"MEIKLE, Talani",New Zealand First Party,2017,Rimutaka,NA,NA,0.049054676,FALSE
"MARTIN, Tracey ",New Zealand First Party,2017,Rodney,NA,NA,0.102140673,FALSE
"MILLS, Geoffrey John",New Zealand First Party,2017,Rongotai,NA,NA,0.020999795,FALSE
"TABUTEAU, Fletcher ",New Zealand First Party,2017,Rotorua,NA,NA,0.074210742,FALSE
"PALMER, Lindy Michelle",New Zealand First Party,2017,Selwyn,NA,NA,0.052282242,FALSE
"MARCROFT, Jenny",New Zealand First Party,2017,Tamaki,NA,NA,NA,FALSE
"MITCHELL, Clayton ",New Zealand First Party,2017,Tauranga,NA,NA,0.160708799,FALSE
"WILSON, David",New Zealand First Party,2017,Te Atatu,NA,NA,NA,FALSE
"KAIRAU, Joe",New Zealand First Party,2017,Tukituki,NA,NA,NA,FALSE
"JOHNSTONE, Jane",New Zealand First Party,2017,Upper Harbour,NA,NA,NA,FALSE
