Candidate,Party,Year,Electorate,Vote
"TABUTEAU, Fletcher ",New Zealand First Party,2014,Rotorua,0.074210742
"GILBERT, Paul ",ACT,2014,Selwyn,0.002348616
"CLIBBORN, Roger ",Conservative Party,2014,Selwyn,0.017563566
"HILL, Peter Selwyn ",Green Party,2014,Selwyn,0.115490657
"DICKSON, Gordon John ",Labour Party,2014,Selwyn,0.108955376
"GARDYNE, Sheryl ",Maori Party,2014,Selwyn,0.003676095
"ADAMS, Amy",National Party,2014,Selwyn,0.699683447
"WOODS, Bill",New Zealand First Party,2014,Selwyn,0.052282242
"MILNE, Mike ",ACT,2014,Tamaki,0.013257965
"MOUNTAIN, Danny ",Conservative Party,2014,Tamaki,0.017060637
"SIGGAARD, Dorthe ",Green Party,2014,Tamaki,0.103802672
"WU, Chao-Fu ",Labour Party,2014,Tamaki,0.143165468
"GIBSON, Lisa ",Mana,2014,Tamaki,0.008427544
"O'CONNOR, Simon ",National Party,2014,Tamaki,0.714285714
"AISH, Edward",Conservative Party,2014,Taranaki-King Country,0.043388855
"MOORE, Robert ",Green Party,2014,Taranaki-King Country,0.094386181
"GAYLOR, Penny ",Labour Party,2014,Taranaki-King Country,0.169545548
"KEINZLEY, Grant ",Mana,2014,Taranaki-King Country,0.006374666
"KURIGER, Barbara ",National Party,2014,Taranaki-King Country,0.681677977
"GEDGE, Lance ",Conservative Party,2014,Taupo,0.025048564
"ROBINSON, Dave ",Green Party,2014,Taupo,0.054391167
"STRANGE, Jamie ",Labour Party,2014,Taupo,0.208158675
"WINITANA, Claire ",Maori Party,2014,Taupo,0.010326143
"UPSTON, Louise ",National Party,2014,Taupo,0.631121562
"PERRY, Edwin",New Zealand First Party,2014,Taupo,0.064921787
"SIMMONS, Alan ",United Future,2014,Taupo,0.003987322
"PEDERSEN, Stuart ",ACT,2014,Tauranga,0.004199529
"HESLOP, Nathaniel ",Conservative Party,2014,Tauranga,0.029294274
"McLEAN, Ian ",Green Party,2014,Tauranga,0.059817679
"JONES, Rachel ",Labour Party,2014,Tauranga,0.161220936
"OHIA-GATE, Verna ",Maori Party,2014,Tauranga,0.005121377
"BRIDGES, Simon ",National Party,2014,Tauranga,0.568780088
"MITCHELL, Clayton ",New Zealand First Party,2014,Tauranga,0.160708799
"MAXWELL, James ",United Future,2014,Tauranga,0.002355833
"FLETCHER, Stephen ",ACT,2014,Te Atatu,0.01295471
"O'ROURKE, Paddy ",Conservative Party,2014,Te Atatu,0.02995129
"STEWART, Gary ",Green Party,2014,Te Atatu,0.050264276
"TWYFORD, Phil ",Labour Party,2014,Te Atatu,0.487408022
"YONG, Chris ",Mana,2014,Te Atatu,0.009327391
"NGARO, Alfred ",National Party,2014,Te Atatu,0.399937817
"LENNOX, Duncan ",ACT,2014,Tukituki,0.004600286
"JENKINSON, Stephen ",Conservative Party,2014,Tukituki,0.054385606
"PERLEY, Chris ",Green Party,2014,Tukituki,0.061132693
"LORCK, Anna ",Labour Party,2014,Tukituki,0.341545696
"FOSS, Craig",National Party,2014,Tukituki,0.525557146
"BERRY, Stephen ",ACT,2014,Upper Harbour,0.01690896
"BLAIR, Callum ",Conservative Party,2014,Upper Harbour,0.05680998
"MAYNE, Nicholas ",Green Party,2014,Upper Harbour,0.080833076
"RETZLAFF, Hermann ",Labour Party,2014,Upper Harbour,0.266213012
"NGATA, Makelesi ",Mana,2014,Upper Harbour,0.006289308
"TE HAU, Hinurewa ",Maori Party,2014,Upper Harbour,0.007629653
"BENNETT, Paula ",National Party,2014,Upper Harbour,0.565316012
"BURROW, Mike ",ACT,2014,Waikato,0.008357408
"DOBBS, Brian ",Conservative Party,2014,Waikato,0.041374329
"GREER, Christine ",Labour Party,2014,Waikato,0.193252167
"TISCH, Lindsay",National Party,2014,Waikato,0.65662402
"STEWART, Barbara ",New Zealand First Party,2014,Waikato,0.095439538
"PRICE, Benjamin ",Conservative Party,2014,Waimakariri,0.023014257
"HUNT, Reuben ",Green Party,2014,Waimakariri,0.042362525
"COSGROVE, Clayton",Labour Party,2014,Waimakariri,0.415478615
"RERITI-CROFTS, Aroha ",Maori Party,2014,Waimakariri,0.002545825
"DOOCEY, Matt ",National Party,2014,Waimakariri,0.48604888
"PROSSER, Richard Ivor ",New Zealand First Party,2014,Waimakariri,0.028818737
"ATKINSON, Shane ",ACT,2014,Wairarapa,0.002437043
"REID, Brent Allan ",Conservative Party,2014,Wairarapa,0.022034931
"HART, John ",Green Party,2014,Wairarapa,0.042343623
"McANULTY, Kieran ",Labour Party,2014,Wairarapa,0.255787977
"SMITH, Ra ",Maori Party,2014,Wairarapa,0.004874086
"SCOTT, Alastair ",National Party,2014,Wairarapa,0.43897238
"MARK, Ron",New Zealand First Party,2014,Wairarapa,0.233549959
"AUBREY, Donald ",Conservative Party,2014,Waitaki,0.036326531
"COUTTS, Sue ",Green Party,2014,Waitaki,0.125204082
"ALEXANDER, Glenda",Labour Party,2014,Waitaki,0.202142857
"DEAN, Jacqui ",National Party,2014,Waitaki,0.629795918
"HOOPER, Brian ",Conservative Party,2014,Wellington Central,0.008016444
"SHAW, James ",Green Party,2014,Wellington Central,0.133299075
"ROBERTSON, Grant ",Labour Party,2014,Wellington Central,0.52024666
"VALENTINE, Callum ",Mana,2014,Wellington Central,0.005652621
"FOSTER-BELL, Paul ",National Party,2014,Wellington Central,0.303083248
"BARR, Hugh ",New Zealand First Party,2014,Wellington Central,0.015210689
"HOLLEY, Claire Margaret ",Conservative Party,2014,West Coast-Tasman,0.029115342
"HAGUE, Kevin ",Green Party,2014,West Coast-Tasman,0.067392854
"O'CONNOR, Damien Peter ",Labour Party,2014,West Coast-Tasman,0.472869795
"PUGH, Maureen ",National Party,2014,West Coast-Tasman,0.357324646
"DAVIDSON, Alan ",ACT,2014,Whanganui,0.007237513
"MacINTYRE, Kim ",Conservative Party,2014,Whanganui,0.025076453
"McDOUALL, Hamish ",Labour Party,2014,Whanganui,0.407237513
"TUAINE, Nancy ",Maori Party,2014,Whanganui,0.017533129
"BORROWS, Chester",National Party,2014,Whanganui,0.536901121
"GRIEVE, Robin ",ACT,2014,Whangarei,0.007862759
"NIGHTINGALE, Don ",Conservative Party,2014,Whangarei,0.027162259
"DOHERTY, Paul ",Green Party,2014,Whangarei,0.087409374
"ELLIS, Kelly ",Labour Party,2014,Whangarei,0.191871745
"CURRIN, David ",Mana,2014,Whangarei,0.009394465
"KAIPO, Anaru ",Maori Party,2014,Whangarei,0.008271214
"RETI, Shane ",National Party,2014,Whangarei,0.555805167
"PARAONE, Pita",New Zealand First Party,2014,Whangarei,0.081384663
"GRIEVE, Shaun ",ACT,2014,Wigram,0.010763817
"PETERS, Mark ",Conservative Party,2014,Wigram,0.028565514
"WESLEY, Richard ",Green Party,2014,Wigram,0.078348168
"WOODS, Megan ",Labour Party,2014,Wigram,0.489443179
"McCLINTOCK, Lois ",Mana,2014,Wigram,0.007141379
"PHILLIPS, Te Whe ",Maori Party,2014,Wigram,0.00413993
"VARLEY, Karl ",National Party,2014,Wigram,0.377147588
