"","Year","Electorate","ACT","Alliance","Conservative Party","Green Party","Jim Anderton's Progressive","Labour Party","Mana","Maori Party","National Party","New Zealand First Party","United Future"
"72",1999,"East Coast",0.022431017,0.065918966,NA,NA,NA,0.497307535,NA,NA,0.354514057,0.031344004,NA
"73",1999,"Epsom",0.31146271,0.026667859,NA,0.04770418,NA,0.203063079,NA,NA,0.368314413,0.011441852,NA
"74",1999,"Hamilton East",0.02256795,0.041015865,NA,NA,NA,0.41929037,NA,NA,0.440566966,0.034220883,NA
"75",1999,"Hamilton West",0.036164315,0.052513861,NA,NA,NA,0.445659022,NA,NA,0.394342238,0.030147429,NA
"76",1999,"Hunua",0.054630693,0.059892843,NA,NA,NA,0.314995535,NA,NA,0.480673555,0.047168006,NA
"77",1999,"Hutt South",0.036722986,0.035430589,NA,0.033665364,NA,0.548606733,NA,NA,0.268534863,0.015193544,0.005610894
"78",1999,"Ilam",0.034947848,0.056048435,NA,0.043280182,NA,0.276345762,NA,NA,0.479918475,0.04325021,NA
"79",1999,"Invercargill",0.007973063,0.049776055,NA,0.021886217,NA,0.570820495,NA,NA,0.317016613,0.015501414,NA
"80",1999,"Kaikoura",0.038467533,0.063593005,NA,0.091679915,NA,0.33442439,NA,NA,0.38074753,0.040524954,NA
"81",1999,"Karapiro",0.075018853,0.102593528,NA,NA,NA,0.266139873,NA,NA,0.437161874,0.067444834,NA
"82",1999,"Mana",0.019443703,0.053028282,NA,0.032984258,NA,0.469517076,NA,NA,0.286919691,0.011806297,0.007904216
"83",1999,"Mangere",0.019776329,0.098406667,NA,NA,NA,0.686039984,NA,NA,0.122673691,0.024655641,NA
"84",1999,"Manukau East",0.050040739,0.0320478,NA,NA,NA,0.550787615,NA,NA,0.310225421,0.014564096,NA
"85",1999,"Manurewa",0.032795438,0.043528491,NA,NA,NA,0.671486602,NA,NA,0.184697947,0.026683561,NA
"86",1999,"Maungakiekie",0.027617213,0.074787697,NA,0.034396632,NA,0.444908299,NA,NA,0.355277243,0.026189966,NA
"87",1999,"Mt Albert",0.036012208,0.038623262,NA,0.034994914,NA,0.643675822,NA,NA,0.199186165,0.013665649,0.004204815
"88",1999,"Mt Roskill",0.028197445,0.037533512,NA,0.028071282,NA,0.58271566,NA,NA,0.27654944,0.018451348,0.004888819
"89",1999,"Napier",0.018916621,0.068075545,NA,0.035495233,NA,0.599471671,NA,NA,0.239266412,0.009260946,NA
"90",1999,"Nelson",0.013283389,0.072179801,NA,0.10131105,NA,0.317562311,NA,NA,0.447831725,0.00852903,NA
"91",1999,"New Plymouth",0.018422193,0.026936652,NA,NA,NA,0.684810205,NA,NA,0.21753669,0.01594526,NA
"92",1999,"North Shore",0.078496725,0.049764395,NA,0.054275371,NA,0.279192047,NA,NA,0.481697506,0.021692909,NA
"93",1999,"Northcote",0.068392458,0.205081496,NA,0.039117929,NA,0.32217961,NA,NA,0.313294982,0.019590924,0.005560882
"94",1999,"Northland",0.023401957,0.059241318,NA,0.087749157,NA,0.228553661,NA,NA,0.407063136,0.119824567,NA
"95",1999,"Ohariu",0.066952132,0.038055808,NA,0.040721416,NA,0.217870917,NA,NA,NA,0.012845962,0.573956443
"96",1999,"Otago",0.051246193,0.06125303,NA,0.058176394,NA,0.345826341,NA,NA,0.419385916,0.013611784,NA
"97",1999,"Otaki",0.021673724,0.049782706,NA,0.032566303,NA,0.518470025,NA,NA,0.31649766,0.021367283,NA
"98",1999,"Pakuranga",0.125113045,0.04789971,NA,0.038076527,NA,0.278760096,NA,NA,0.444475629,0.029126516,NA
"99",1999,"Palmerston North",0.023747114,0.040566685,NA,0.025525807,NA,0.63021906,NA,NA,0.219777819,0.014635212,NA
"100",1999,"Port Waikato",0.050943522,0.052177102,NA,0.056878042,NA,0.302060412,NA,NA,0.432586517,0.055177702,NA
"101",1999,"Rakaia",0.016251025,0.059536466,NA,0.031438899,NA,0.240424045,NA,NA,0.562467726,0.040156739,NA
"102",1999,"Rangitikei",0.030092073,0.071252125,NA,NA,NA,0.38490905,NA,NA,0.394180488,0.054826602,0.021141446
"103",1999,"Rimutaka",0.021228907,0.055489738,NA,0.027472703,NA,0.538119176,NA,NA,0.269988153,0.017130415,NA
"104",1999,"Rodney",0.051151964,0.04939119,NA,0.093679121,NA,0.210994389,NA,NA,0.417064582,0.035663125,NA
"105",1999,"Rongotai",0.038775573,0.033607535,NA,0.038836733,NA,0.604935629,NA,NA,0.209596037,0.008103728,0.003883673
"106",1999,"Rotorua",NA,0.023759657,NA,0.04223176,NA,0.496961373,NA,NA,0.326042918,0.036738197,NA
"107",1999,"Tamaki",0.07886416,0.034320798,NA,0.038372985,NA,0.315088258,NA,NA,0.465848043,0.020936301,NA
"108",1999,"Taranaki-King Country",0.08456567,0.110380838,NA,0.048417132,NA,0.218643882,NA,NA,0.456347902,0.040274583,NA
"109",1999,"Taupo",0.03158653,0.02319467,NA,0.035908518,NA,0.494183324,NA,NA,0.365316045,0.025859896,NA
"110",1999,"Tauranga",NA,0.013409905,NA,0.033480359,NA,0.281785619,NA,NA,0.300819988,0.302684941,NA
"111",1999,"Te Atatu",0.020946838,0.107509052,NA,0.02903455,NA,0.549186153,NA,NA,0.235761903,0.021149876,0.002774864
"112",1999,"Titirangi",0.02533152,0.049268956,NA,0.053587215,NA,0.507718463,NA,NA,0.31050663,0.0183271,NA
"113",1999,"Tukituki",0.046132426,0.030476485,NA,0.027444307,NA,0.547029703,NA,NA,0.279517327,0.017357673,NA
"114",1999,"Waimakariri",0.01582999,0.091293505,NA,0.02244389,NA,0.38875637,NA,NA,0.357828255,0.05586577,NA
"115",1999,"Wairarapa",0.020371793,0.075311108,NA,0.022276847,NA,0.462129359,NA,NA,0.36893532,0.024980796,NA
"116",1999,"Waitakere",0.045133661,0.064973736,NA,0.067851049,NA,0.309946803,NA,NA,0.445648901,0.026029643,NA
"117",1999,"Wellington Central",0.44269694,NA,NA,NA,NA,0.483732521,NA,NA,NA,0.008528312,0.008971342
"118",1999,"West Coast-Tasman",0.015227111,0.03887773,NA,0.054461219,NA,0.479815979,NA,NA,0.240782738,0.08818765,0.004049763
"119",1999,"Whanganui",0.011819565,0.059777857,NA,0.025873514,NA,0.41559535,NA,NA,0.313428969,0.021372365,NA
"120",1999,"Whangarei",0.063576319,0.094640649,NA,0.04364086,NA,0.264770637,NA,NA,0.323099195,0.173779292,0.001266701
