"","Candidate","Party","Year","Electorate","2014 Vote","median","lowr","upr","% Win"
"72","BAYLY, Andrew","National Party",2017,"Hunua",0.675553268,0.603996390752033,0.591917288915651,0.616931872743832,1
"73","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Hunua",0.052282242,0.107205817930988,0.0867658535917766,0.1303702286314,0
"74","PARKINS, Andy","ACT",2017,"Hutt South",0.004687182,0.000883375622076855,0.000259216055112231,0.00240700092572338,0
"75","RUTHVEN, Susanne","Green Party",2017,"Hutt South",0.083452211,0.0817745154714682,0.0754418664397414,0.0880489242938627,0
"76","ANDERSEN, Ginny","Labour Party",2017,"Hutt South",0.438047687,0.404085342512106,0.394199497409499,0.414057189610734,0.017
"77","BISHOP, Chris","National Party",2017,"Hutt South",0.419604646,0.422975302495059,0.414085065766323,0.431998699592306,0.983
"78","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Hutt South",0.028924775,0.0728289498874444,0.0556032675271047,0.0920297629191473,0
"79","GILBERT, Paul","ACT",2017,"Ilam",0.011722365,0.00175555918992514,0.000546636122334296,0.00456855545410905,0
"80","GENERIC GREEN PARTY CANDIDATE","Green Party",2017,"Ilam",0.122056555,0.0945877940075225,0.0872077537874487,0.10232708119616,0
"81","RIMELL, Anthony","Labour Party",2017,"Ilam",0.23496144,0.27377936544219,0.264532981088493,0.282967246684511,0
"82","BROWNLEE, Gerry","National Party",2017,"Ilam",0.580771208,0.614654530755748,0.604423112722674,0.625079405070427,1
"83","SURENDRAN, Rochelle","Green Party",2017,"Invercargill",0.074243813,0.0631467809714445,0.0564416019570945,0.0703739203516464,0
"84","CRAIG, Liz","Labour Party",2017,"Invercargill",0.298502903,0.330144089214743,0.322052345748453,0.338310735382437,0
"85","DOWIE, Sarah","National Party",2017,"Invercargill",0.520928811,0.480008999554439,0.47018640082258,0.490175908888314,1
"86","BOND, Ria","New Zealand First Party",2017,"Invercargill",0.07505856,0.137178551440736,0.115256986033259,0.162763881274554,0
"87","EVANS, Richard","ACT",2017,"Kaikoura",0.003666735,0.000499533452331649,0.00013458068918487,0.0015588866193673,0
"88","McCUBBIN, Richard","Green Party",2017,"Kaikoura",0.083825626,0.0716544953050684,0.0649340714567531,0.0783439696418015,0
"89","WALKER, Janette","Labour Party",2017,"Kaikoura",0.229374618,0.265439293332355,0.256478308284565,0.274420120044466,0
"90","SMITH, Stuart","National Party",2017,"Kaikoura",0.577408841,0.53538535815467,0.524739557983204,0.546274117529529,1
"91","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Kaikoura",0.016902274,0.0733293245690766,0.058895002964594,0.0897195540652704,0
"92","FOSTER, John","United Future",2017,"Kaikoura",NA,0.00220454768506506,0.000846569040470255,0.00460604998805853,0
"93","GENERIC GREEN PARTY CANDIDATE","Green Party",2017,"Kelston",0.069263618,0.0711446488877285,0.0650901042790067,0.0769264032367697,0
"94","SEPULONI, Carmel","Labour Party",2017,"Kelston",0.509009478,0.499886561909228,0.489165531837637,0.510717836365244,1
"95","BEERAM, Bala","National Party",2017,"Kelston",0.327986668,0.321745521302998,0.311571421707584,0.331358090397827,0
"96","DEGIA-PALA, Anne","New Zealand First Party",2017,"Kelston",0.043224664,0.0914750078875564,0.0721108833140013,0.113094344669959,0
"97","SHAN, Ng","ACT",2017,"Mana",NA,0.0011875630626842,0.000608524087243836,0.00235338380696377,0
"98","LOGIE, Jan","Green Party",2017,"Mana",0.084359606,0.0820516617069364,0.0758346183657566,0.0882512360866908,0
"99","FAAFOI, Kris","Labour Party",2017,"Mana",0.548132184,0.535444308200329,0.525089783696889,0.546431646810065,1
"100","MURREL, Euon","National Party",2017,"Mana",0.326252053,0.363059588084219,0.354768509532315,0.371644002142773,0
"101","DYETT, Elaine","Green Party",2017,"Mangere",0.045608466,0.0405786717952815,0.0342494869630413,0.0475577068310506,0
"102","SIO, Sua William","Labour Party",2017,"Mangere",0.724973545,0.772893356255824,0.758260454225825,0.787946758103224,1
"103","LOHENI, Agnes","National Party",2017,"Mangere",0.152380952,0.170209212415004,0.163130439290853,0.177411261489817,0
"104","SINGH, Bhupinder","ACT",2017,"Manukau East",NA,0.00316502883049553,0.00132152503505266,0.00588736182374276,0
"105","PARDEEP SINGH, Raj","Green Party",2017,"Manukau East",0.026520396,0.0320763821786485,0.0268039615749678,0.0382147006755769,0
"106","SALESA, Jenny","Labour Party",2017,"Manukau East",0.69538822,0.652363567696951,0.637623802871207,0.668178533543567,1
"107","BAKSHI, Kanwaljit Singh","National Party",2017,"Manukau East",0.173926936,0.202748749696469,0.195188630390821,0.210396821989566,0
"108","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Manukau East",0.077869291,0.0896655170723535,0.0757447017788664,0.104892113995189,0
"109","SINGH, Satnam","ACT",2017,"Manurewa",NA,0.00277239630579984,0.00115961075412346,0.00519650772870386,0
"110","TUIONO, Teanau","Green Party",2017,"Manurewa",0.043534068,0.039970177524767,0.033984536856493,0.0469654412559759,0
"111","WALL, Louisa Hareruia","Labour Party",2017,"Manurewa",0.54230399,0.627241752852578,0.61654511347923,0.638110233109603,1
"112","BUNGARD, Katrina","National Party",2017,"Manurewa",0.295004813,0.286718664325224,0.277288725809436,0.29592729630157,0
"113","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Manurewa",0.052454675,0.098316982687386,0.0824796440401392,0.115841861346109,0
"114","SWARBRICK, Chloe","Green Party",2017,"Maungakiekie",0.062571817,0.064939201506294,0.0590530913394824,0.0709633769352599,0
"115","RADHAKRISHNAN, Priyanca","Labour Party",2017,"Maungakiekie",0.413350047,0.43015320433352,0.421207417196108,0.439491882499599,0.666
"116","LEE, Denise","National Party",2017,"Maungakiekie",0.483860859,0.426287939800488,0.416165477393189,0.436557136001092,0.334
"117","GENTER, Julie Anne","Green Party",2017,"Mt Albert",0.088277858,0.104756974159006,0.0972692317736843,0.113453401093043,0
