"","Electoral District","Year","Party","2014 Percent","median","lowr","upr"
"93","East Coast Bays",2017,"Green Party",0.0823,0.107428023002326,0.0951288783978535,0.120215532450238
"94","East Coast Bays",2017,"Labour Party",0.1215,0.114823822927027,0.106624126808928,0.126286611844812
"95","East Coast Bays",2017,"Mana",0.0067,0.000422224791445203,0.000174218054321026,0.00146553047754634
"96","East Coast Bays",2017,"Maori Party",0.0038,0.00351427571571443,0.00263694492636171,0.00690863489306246
"97","East Coast Bays",2017,"National Party",0.6338,0.614333286619023,0.598041999264912,0.630083643763457
"98","East Coast Bays",2017,"New Zealand First Party",0.0596,0.130204127239296,0.104880712330461,0.155018244982936
"99","East Coast Bays",2017,"United Future",0.0021,0.00314904369847953,0.00106556863208537,0.0079029000678471
"100","Epsom",2017,"ACT",0.0272,0.0173720202922851,0.00837855319402065,0.0277591096163655
"101","Epsom",2017,"Conservative Party",0.0248,0.000350477892600697,0.000166969118497451,0.000844434135363299
"102","Epsom",2017,"Green Party",0.1252,0.141528722855682,0.13334118097976,0.150744359507583
"103","Epsom",2017,"Labour Party",0.1342,0.126825983842034,0.117769200146158,0.137220470659712
"104","Epsom",2017,"Mana",0.0083,0.000523054592387341,0.000215822365800674,0.0018155079050201
"105","Epsom",2017,"Maori Party",0.0046,0.00425412323481221,0.00319209122664839,0.00662197730520896
"106","Epsom",2017,"National Party",0.636,0.616533286619023,0.600241999264912,0.632283643763457
"107","Epsom",2017,"New Zealand First Party",0.0348,0.0806370288020653,0.0629861513873789,0.101355203077976
"108","Epsom",2017,"United Future",0.0016,0.00228390134238041,0.00081186181492219,0.00543932603915628
"109","Hamilton East",2017,"ACT",0.0072,0.00459847595972251,0.00221785231606429,0.00804005209569101
"110","Hamilton East",2017,"Conservative Party",0.0481,0.000679757525568286,0.000323839298376108,0.00163779362544253
"111","Hamilton East",2017,"Green Party",0.1102,0.132321931308376,0.121330502928367,0.143700861268231
"112","Hamilton East",2017,"Labour Party",0.2377,0.224638870039131,0.20859716002043,0.241632844557552
"113","Hamilton East",2017,"Mana",0.01,0.000630186255888362,0.0002600269467478,0.00218735892171096
"114","Hamilton East",2017,"Maori Party",0.0064,0.0059187801527822,0.00444117040229341,0.009099877523809
"115","Hamilton East",2017,"National Party",0.5003,0.480833286619023,0.464541999264912,0.496583643763457
"116","Hamilton East",2017,"New Zealand First Party",0.0714,0.133332890210646,0.110727982497953,0.157241803779141
"117","Hamilton East",2017,"United Future",0.003,0.00393372300051949,0.00152224090297911,0.0080957022197559
"118","Hamilton West",2017,"ACT",0.0048,0.00306565063981501,0.00147856821070953,0.00561208893428186
"119","Hamilton West",2017,"Conservative Party",0.0467,0.000659972483244051,0.000314413622331894,0.00159012395651073
"120","Hamilton West",2017,"Green Party",0.0821,0.103253532996048,0.0927259697824995,0.114323231726475
"121","Hamilton West",2017,"Labour Party",0.2569,0.242783869217723,0.22544640475073,0.260602353768015
"122","Hamilton West",2017,"Mana",0.0072,0.000453734104239621,0.000187219401658416,0.00157489842363189
"123","Hamilton West",2017,"Maori Party",0.0056,0.00517893263368443,0.00388602410200674,0.00819644090634399
"124","Hamilton West",2017,"National Party",0.4773,0.457833286619023,0.441541999264912,0.473583643763457
"125","Hamilton West",2017,"New Zealand First Party",0.1082,0.167512430968525,0.145599504029133,0.191194468647268
"126","Hamilton West",2017,"United Future",0.0026,0.00349436035414264,0.00131927544924856,0.00748179772105248
"127","Helensville",2017,"ACT",0.0074,0.00472621140304814,0.00227945932484385,0.00817754526722354
"128","Helensville",2017,"Conservative Party",0.0478,0.000675517873641663,0.000321819510652348,0.00162757869638572
"129","Helensville",2017,"Green Party",0.1358,0.156245740577635,0.146173799637446,0.166762236622165
"130","Helensville",2017,"Labour Party",0.1253,0.118415020681124,0.1099588731618,0.129191598642069
"131","Helensville",2017,"Mana",0.0096,0.000604978805652828,0.000249625868877888,0.00209986456484252
"132","Helensville",2017,"Maori Party",0.0054,0.00499397075390999,0.00374723752693507,0.00790656670242829
"133","Helensville",2017,"National Party",0.5851,0.565633286619023,0.549341999264912,0.581383643763457
"134","Helensville",2017,"New Zealand First Party",0.0738,0.131171059116102,0.110365115642149,0.15288784211157
"135","Helensville",2017,"United Future",0.0026,0.00346208634020266,0.00131927544924856,0.00731752155053159
"136","Hunua",2017,"ACT",0.0087,0.0055564917846647,0.00267990488191102,0.00946049299011343
"137","Hunua",2017,"Conservative Party",0.0504,0.000712261523672382,0.000339324337591596,0.00171610808154477
"138","Hunua",2017,"Green Party",0.0579,0.0780147580560477,0.0680996348144122,0.0883563419879175
"139","Hunua",2017,"Labour Party",0.131,0.123801817312268,0.114960992691108,0.134793004346862
"140","Hunua",2017,"Mana",0.0046,0.000289885677708647,0.000119612395503988,0.00100618510398704
"141","Hunua",2017,"Maori Party",0.004,0.00369923759548888,0.00277573150143338,0.00647018253630108
"142","Hunua",2017,"National Party",0.6391,0.619633286619023,0.603341999264912,0.635383643763457
"143","Hunua",2017,"New Zealand First Party",0.0958,0.15214257838967,0.131713376454671,0.173734486160986
"144","Hunua",2017,"United Future",0.0023,0.00314476483436179,0.00116705135895065,0.00694741034395272
"145","Hutt South",2017,"ACT",0.0066,0.00421526962974564,0.0020330312897256,0.00732430122032198
"146","Hutt South",2017,"Conservative Party",0.0357,0.000504518579267938,0.000240354739127382,0.00121557655776088
"147","Hutt South",2017,"Green Party",0.1275,0.146443316413365,0.136992736634803,0.156870042226744
"148","Hutt South",2017,"Labour Party",0.2798,0.264425560946356,0.245542639350931,0.282973411061051
"149","Hutt South",2017,"Mana",0.0072,0.000453734104239621,0.000187219401658416,0.00157489842363189
"150","Hutt South",2017,"Maori Party",0.0053,0.00490148981402276,0.00367784423939923,0.00764903085417167
"151","Hutt South",2017,"National Party",0.453,0.433533286619023,0.417241999264912,0.449283643763457
"152","Hutt South",2017,"New Zealand First Party",0.0748,0.127892179084609,0.107672920036804,0.151118626022991
"153","Hutt South",2017,"United Future",0.0035,0.00430179147152722,0.00177594772014229,0.00788733847911741
"154","Ilam",2017,"ACT",0.0099,0.00632290444461846,0.0030495469345884,0.0105799900001034
"155","Ilam",2017,"Conservative Party",0.0368,0.000520063969665547,0.000247760627447829,0.00125303129763586
"156","Ilam",2017,"Green Party",0.1296,0.147622213550061,0.13873130940794,0.157167828319898
"157","Ilam",2017,"Labour Party",0.1767,0.166990695565479,0.15506570540854,0.17992861351169
"158","Ilam",2017,"Mana",0.0066,0.000415922928886319,0.000171617784853548,0.00144365688832923
"159","Ilam",2017,"Maori Party",0.0048,0.00443908511458665,0.00333087780172006,0.00701578983847783
"160","Ilam",2017,"National Party",0.5772,0.557733286619023,0.541441999264912,0.573483643763457
"161","Ilam",2017,"New Zealand First Party",0.0512,0.101687985531035,0.0830421784908139,0.122537608158843
"162","Ilam",2017,"United Future",0.0026,0.00336142535642976,0.00131927544924856,0.00677329798861122
"163","Invercargill",2017,"ACT",0.0033,0.00210763481487282,0.0010165156448628,0.00400983358494068
"164","Invercargill",2017,"Conservative Party",0.0368,0.000520063969665547,0.000247760627447829,0.00125303129763586
"165","Invercargill",2017,"Green Party",0.0757,0.0939389479468594,0.0848926739904392,0.103798939733531
"166","Invercargill",2017,"Labour Party",0.2507,0.236924546566303,0.22000550280657,0.253835241816089
"167","Invercargill",2017,"Mana",0.0062,0.000390715478650785,0.000161216706983636,0.0013561625314608
"168","Invercargill",2017,"Maori Party",0.0032,0.0029593900763911,0.00222058520114671,0.00545562078161798
"169","Invercargill",2017,"National Party",0.4948,0.475333286619023,0.459041999264912,0.491083643763457
"170","Invercargill",2017,"New Zealand First Party",0.1116,0.162736968424475,0.143303908647297,0.184926581978087
"171","Invercargill",2017,"United Future",0.002,0.00277233594524179,0.00101482726865274,0.00619687899240949
