Electoral District,Maori,Year,Party,Percent,Ratio
Helensville,FALSE,2008,GREEN PARTY,4.9,0.729166666666667
Hunua,FALSE,2008,GREEN PARTY,3.37,0.501488095238095
Hutt South,FALSE,2008,GREEN PARTY,7.69,1.14434523809524
Ilam,FALSE,2008,GREEN PARTY,8.2,1.2202380952381
Invercargill,FALSE,2008,GREEN PARTY,4.26,0.633928571428571
Kaikoura,FALSE,2008,GREEN PARTY,7.01,1.04315476190476
Mana,FALSE,2008,GREEN PARTY,8.38,1.24702380952381
Mangere,FALSE,2008,GREEN PARTY,2.04,0.303571428571429
Manukau East,FALSE,2008,GREEN PARTY,1.79,0.266369047619048
Manurewa,FALSE,2008,GREEN PARTY,2.25,0.334821428571429
Maungakiekie,FALSE,2008,GREEN PARTY,5.48,0.815476190476191
Mt Albert,FALSE,2008,GREEN PARTY,11,1.63690476190476
Mt Roskill,FALSE,2008,GREEN PARTY,4.28,0.636904761904762
Napier,FALSE,2008,GREEN PARTY,5.55,0.825892857142857
Nelson,FALSE,2008,GREEN PARTY,9.43,1.40327380952381
New Lynn,FALSE,2008,GREEN PARTY,7.63,1.13541666666667
New Plymouth,FALSE,2008,GREEN PARTY,6.43,0.956845238095238
North Shore,FALSE,2008,GREEN PARTY,6.61,0.983630952380952
Northcote,FALSE,2008,GREEN PARTY,6.7,0.99702380952381
Northland,FALSE,2008,GREEN PARTY,7.34,1.0922619047619
Ohariu,FALSE,2008,GREEN PARTY,9.13,1.35863095238095
Otaki,FALSE,2008,GREEN PARTY,5.64,0.839285714285714
Pakuranga,FALSE,2008,GREEN PARTY,3.6,0.535714285714286
Palmerston North,FALSE,2008,GREEN PARTY,6.51,0.96875
Papakura,FALSE,2008,GREEN PARTY,2.97,0.441964285714286
Port Hills,FALSE,2008,GREEN PARTY,13.78,2.05059523809524
Rangitata,FALSE,2008,GREEN PARTY,4.21,0.626488095238095
Rangitikei,FALSE,2008,GREEN PARTY,5.44,0.80952380952381
Rimutaka,FALSE,2008,GREEN PARTY,5.93,0.882440476190476
Rodney,FALSE,2008,GREEN PARTY,5.18,0.770833333333333
Rongotai,FALSE,2008,GREEN PARTY,16.97,2.52529761904762
Rotorua,FALSE,2008,GREEN PARTY,4.98,0.741071428571429
Selwyn,FALSE,2008,GREEN PARTY,7.53,1.12053571428571
Tamaki,FALSE,2008,GREEN PARTY,5.29,0.787202380952381
Taranaki-King Country,FALSE,2008,GREEN PARTY,4.97,0.739583333333333
Taupo,FALSE,2008,GREEN PARTY,4.51,0.671130952380952
Tauranga,FALSE,2008,GREEN PARTY,4.58,0.681547619047619
Te Atatu,FALSE,2008,GREEN PARTY,4,0.595238095238095
Tukituki,FALSE,2008,GREEN PARTY,6.02,0.895833333333333
Waikato,FALSE,2008,GREEN PARTY,3.94,0.586309523809524
Waimakariri,FALSE,2008,GREEN PARTY,5.43,0.808035714285714
Wairarapa,FALSE,2008,GREEN PARTY,5.75,0.855654761904762
Waitakere,FALSE,2008,GREEN PARTY,6.47,0.962797619047619
Waitaki,FALSE,2008,GREEN PARTY,7.01,1.04315476190476
Wellington Central,FALSE,2008,GREEN PARTY,20.62,3.06845238095238
West Coast-Tasman,FALSE,2008,GREEN PARTY,10.85,1.61458333333333
Whanganui,FALSE,2008,GREEN PARTY,5.28,0.785714285714286
Whangarei,FALSE,2008,GREEN PARTY,6,0.892857142857143
Wigram,FALSE,2008,GREEN PARTY,6.94,1.0327380952381
Hauraki-Waikato,TRUE,2011,GREEN PARTY,9.13,0.825497287522604
Ikaroa-Rawhiti,TRUE,2011,GREEN PARTY,9.36,0.84629294755877
Tamaki Makaurau,TRUE,2011,GREEN PARTY,9.71,0.877938517179023
Te Tai Hauauru,TRUE,2011,GREEN PARTY,11.17,1.00994575045208
Te Tai Tokerau,TRUE,2011,GREEN PARTY,8.61,0.778481012658228
Te Tai Tonga,TRUE,2011,GREEN PARTY,15.82,1.43037974683544
Waiariki,TRUE,2011,GREEN PARTY,8.84,0.799276672694394
Auckland Central,FALSE,2011,GREEN PARTY,22.79,2.06057866184448
Bay of Plenty,FALSE,2011,GREEN PARTY,8.69,0.785714285714286
Botany,FALSE,2011,GREEN PARTY,4.4,0.397830018083183
Christchurch Central,FALSE,2011,GREEN PARTY,16.26,1.47016274864376
Christchurch East,FALSE,2011,GREEN PARTY,11.68,1.05605786618445
Clutha-Southland,FALSE,2011,GREEN PARTY,8.64,0.78119349005425
