Electoral District,Maori,Year,Party,Percent,Ratio
Manurewa,FALSE,1999,NATIONAL PARTY,24.68,0.775612822
Manurewa,FALSE,2002,NATIONAL PARTY,12.5,0.571297989
Manurewa,FALSE,2005,NATIONAL PARTY,25.7,0.622426738
Manurewa,FALSE,2008,NATIONAL PARTY,30.33,0.641633171
Manurewa,FALSE,2011,NATIONAL PARTY,26.13,0.525860334
Manurewa,FALSE,2014,NATIONAL PARTY,27.69,0.558041112
Maungakiekie,FALSE,1996,NATIONAL PARTY,32.03,0.908137227
Maungakiekie,FALSE,1999,NATIONAL PARTY,27.65,0.868950346
Maungakiekie,FALSE,2002,NATIONAL PARTY,17.06,0.779707495
Maungakiekie,FALSE,2005,NATIONAL PARTY,33.48,0.810850085
Maungakiekie,FALSE,2008,NATIONAL PARTY,42.48,0.898667231
Maungakiekie,FALSE,2011,NATIONAL PARTY,43.59,0.877238881
Maungakiekie,FALSE,2014,NATIONAL PARTY,41.65,0.839379283
Mt Albert,FALSE,1999,NATIONAL PARTY,22.87,0.718730358
Mt Albert,FALSE,2002,NATIONAL PARTY,13.1,0.598720293
Mt Albert,FALSE,2005,NATIONAL PARTY,26.35,0.638169048
Mt Albert,FALSE,2008,NATIONAL PARTY,35.66,0.754389676
Mt Albert,FALSE,2011,NATIONAL PARTY,36.67,0.737975448
Mt Albert,FALSE,2014,NATIONAL PARTY,39.08,0.787585651
Mt Roskill,FALSE,1999,NATIONAL PARTY,27.65,0.868950346
Mt Roskill,FALSE,2002,NATIONAL PARTY,17.15,0.783820841
Mt Roskill,FALSE,2005,NATIONAL PARTY,34.77,0.842092516
Mt Roskill,FALSE,2008,NATIONAL PARTY,42.09,0.890416755
Mt Roskill,FALSE,2011,NATIONAL PARTY,39.53,0.7955323
Mt Roskill,FALSE,2014,NATIONAL PARTY,42.08,0.848045143
Napier,FALSE,1996,NATIONAL PARTY,28.71,0.814006238
Napier,FALSE,1999,NATIONAL PARTY,26.52,0.833438089
Napier,FALSE,2002,NATIONAL PARTY,18.66,0.852833638
Napier,FALSE,2005,NATIONAL PARTY,42.32,1.024945507
Napier,FALSE,2008,NATIONAL PARTY,47.26,0.999788449
Napier,FALSE,2011,NATIONAL PARTY,48.77,0.981485208
