Electoral District,Maori,Year,Party,Percent,Ratio
Te Atatu,FALSE,2014,UNITED FUTURE,0.16,0.695652173913043
Tukituki,FALSE,2014,UNITED FUTURE,0.16,0.695652173913043
Upper Harbour,FALSE,2014,UNITED FUTURE,0.21,0.91304347826087
Waikato,FALSE,2014,UNITED FUTURE,0.22,0.956521739130435
Waimakariri,FALSE,2014,UNITED FUTURE,0.18,0.782608695652174
Wairarapa,FALSE,2014,UNITED FUTURE,0.16,0.695652173913043
Waitaki,FALSE,2014,UNITED FUTURE,0.24,1.04347826086957
Wellington Central,FALSE,2014,UNITED FUTURE,0.3,1.30434782608696
West Coast-Tasman,FALSE,2014,UNITED FUTURE,0.2,0.869565217391304
Whanganui,FALSE,2014,UNITED FUTURE,0.21,0.91304347826087
Whangarei,FALSE,2014,UNITED FUTURE,0.25,1.08695652173913
Wigram,FALSE,2014,UNITED FUTURE,0.28,1.21739130434783
