Electoral District,Maori,Year,Party,Percent,Ratio
Rongotai,FALSE,2002,LABOUR PARTY,44.95,1.10823471400394
Rotorua,FALSE,2002,LABOUR PARTY,37.63,0.92776134122288
Tamaki,FALSE,2002,LABOUR PARTY,34.08,0.840236686390533
Taranaki-King Country,FALSE,2002,LABOUR PARTY,27.57,0.679733727810651
Taupo,FALSE,2002,LABOUR PARTY,39.6,0.976331360946746
Tauranga,FALSE,2002,LABOUR PARTY,32.16,0.792899408284023
Te Atatu,FALSE,2002,LABOUR PARTY,51.71,1.27490138067061
Tukituki,FALSE,2002,LABOUR PARTY,40.86,1.00739644970414
Waimakariri,FALSE,2002,LABOUR PARTY,42.45,1.04659763313609
Wairarapa,FALSE,2002,LABOUR PARTY,38.37,0.946005917159763
Waitakere,FALSE,2002,LABOUR PARTY,46.85,1.15507889546351
Wellington Central,FALSE,2002,LABOUR PARTY,36.89,0.909516765285996
West Coast-Tasman,FALSE,2002,LABOUR PARTY,34.15,0.841962524654832
Whanganui,FALSE,2002,LABOUR PARTY,39.78,0.980769230769231
Whangarei,FALSE,2002,LABOUR PARTY,35.32,0.870808678500986
Wigram,FALSE,2002,LABOUR PARTY,45.46,1.12080867850099
Ikaroa-Rawhiti,TRUE,2005,LABOUR PARTY,58.28,1.06700842182351
Tainui,TRUE,2005,LABOUR PARTY,55.68,1.01940681069205
Tamaki Makaurau,TRUE,2005,LABOUR PARTY,55.14,1.00952032222629
Te Tai Hauauru,TRUE,2005,LABOUR PARTY,53.1,0.972171365800073
Te Tai Tokerau,TRUE,2005,LABOUR PARTY,49.33,0.903149029659465
Te Tai Tonga,TRUE,2005,LABOUR PARTY,57.89,1.05986818015379
Waiariki,TRUE,2005,LABOUR PARTY,53.11,0.97235444891981
Aoraki,FALSE,2005,LABOUR PARTY,39.96,0.992795031055901
Auckland Central,FALSE,2005,LABOUR PARTY,45.24,1.1239751552795
Banks Peninsula,FALSE,2005,LABOUR PARTY,40.1,0.996273291925466
Bay of Plenty,FALSE,2005,LABOUR PARTY,28.08,0.697639751552795
Christchurch Central,FALSE,2005,LABOUR PARTY,48.31,1.20024844720497
Christchurch East,FALSE,2005,LABOUR PARTY,53.44,1.32770186335404
Clevedon,FALSE,2005,LABOUR PARTY,31.61,0.785341614906832
Clutha-Southland,FALSE,2005,LABOUR PARTY,28.7,0.71304347826087
Coromandel,FALSE,2005,LABOUR PARTY,31.71,0.787826086956522
Dunedin North,FALSE,2005,LABOUR PARTY,54.82,1.36198757763975
Dunedin South,FALSE,2005,LABOUR PARTY,57.13,1.41937888198758
East Coast,FALSE,2005,LABOUR PARTY,38.99,0.968695652173913
East Coast Bays,FALSE,2005,LABOUR PARTY,31.77,0.789316770186335
Epsom,FALSE,2005,LABOUR PARTY,27.22,0.676273291925466
Hamilton East,FALSE,2005,LABOUR PARTY,35.52,0.882484472049689
Hamilton West,FALSE,2005,LABOUR PARTY,41.29,1.02583850931677
Helensville,FALSE,2005,LABOUR PARTY,27.97,0.694906832298137
Hutt South,FALSE,2005,LABOUR PARTY,47.54,1.18111801242236
Ilam,FALSE,2005,LABOUR PARTY,34.54,0.858136645962733
Invercargill,FALSE,2005,LABOUR PARTY,45.18,1.12248447204969
Kaikoura,FALSE,2005,LABOUR PARTY,36.04,0.895403726708075
Mana,FALSE,2005,LABOUR PARTY,49.98,1.24173913043478
Mangere,FALSE,2005,LABOUR PARTY,72.89,1.81093167701863
Manukau East,FALSE,2005,LABOUR PARTY,54.87,1.3632298136646
Manurewa,FALSE,2005,LABOUR PARTY,59.11,1.46857142857143
Maungakiekie,FALSE,2005,LABOUR PARTY,50.71,1.25987577639752
Mt Albert,FALSE,2005,LABOUR PARTY,54.33,1.34981366459627
Mt Roskill,FALSE,2005,LABOUR PARTY,49.7,1.23478260869565
Napier,FALSE,2005,LABOUR PARTY,41,1.01863354037267
Nelson,FALSE,2005,LABOUR PARTY,42.96,1.06732919254658
New Lynn,FALSE,2005,LABOUR PARTY,49.09,1.21962732919255
New Plymouth,FALSE,2005,LABOUR PARTY,37.64,0.935155279503106
North Shore,FALSE,2005,LABOUR PARTY,29.91,0.743105590062112
Northcote,FALSE,2005,LABOUR PARTY,39.11,0.97167701863354
Northland,FALSE,2005,LABOUR PARTY,30.23,0.751055900621118
Ohariu-Belmont,FALSE,2005,LABOUR PARTY,39.57,0.983105590062112
Otago,FALSE,2005,LABOUR PARTY,39.59,0.98360248447205
Otaki,FALSE,2005,LABOUR PARTY,41.67,1.03527950310559
Pakuranga,FALSE,2005,LABOUR PARTY,30.04,0.746335403726708
Palmerston North,FALSE,2005,LABOUR PARTY,44.98,1.11751552795031
Piako,FALSE,2005,LABOUR PARTY,30.62,0.760745341614907
Port Waikato,FALSE,2005,LABOUR PARTY,25.9,0.643478260869565
Rakaia,FALSE,2005,LABOUR PARTY,30.85,0.766459627329193
Rangitikei,FALSE,2005,LABOUR PARTY,36.08,0.89639751552795
Rimutaka,FALSE,2005,LABOUR PARTY,47.8,1.18757763975155
Rodney,FALSE,2005,LABOUR PARTY,27.82,0.691180124223603
Rongotai,FALSE,2005,LABOUR PARTY,49.96,1.24124223602484
Rotorua,FALSE,2005,LABOUR PARTY,36.67,0.911055900621118
Tamaki,FALSE,2005,LABOUR PARTY,32.3,0.802484472049689
Taranaki-King Country,FALSE,2005,LABOUR PARTY,25.05,0.622360248447205
Taupo,FALSE,2005,LABOUR PARTY,37.3,0.926708074534161
Tauranga,FALSE,2005,LABOUR PARTY,30.23,0.751055900621118
Te Atatu,FALSE,2005,LABOUR PARTY,52.03,1.29267080745342
Tukituki,FALSE,2005,LABOUR PARTY,37.66,0.935652173913043
